Day,Date,HomeTeam,AwayTeam,HomePts,AwayPts
Fri,2024-05-31,New York Liberty,Washington Mystics,90,79
Sat,2024-06-01,Indiana Fever,Chicago Sky,71,70
Sun,2024-06-02,Atlanta Dream,Connecticut Sun,50,69
Sun,2024-06-02,Minnesota Lynx,Dallas Wings,87,76
Sun,2024-06-02,New York Liberty,Indiana Fever,104,68
Sun,2024-06-02,Phoenix Mercury,Los Angeles Sparks,87,68
Tue,2024-06-04,Chicago Sky,New York Liberty,75,88
Tue,2024-06-04,Connecticut Sun,Washington Mystics,76,59
Tue,2024-06-04,Seattle Storm,Phoenix Mercury,80,62
Wed,2024-06-05,Dallas Wings,Las Vegas Aces,81,95
Wed,2024-06-05,Los Angeles Sparks,Minnesota Lynx,62,86
Thu,2024-06-06,Atlanta Dream,New York Liberty,61,78
Thu,2024-06-06,Washington Mystics,Chicago Sky,71,79
Fri,2024-06-07,Los Angeles Sparks,Dallas Wings,81,72
Fri,2024-06-07,Las Vegas Aces,Seattle Storm,65,78
Fri,2024-06-07,Phoenix Mercury,Minnesota Lynx,81,80
Fri,2024-06-07,Washington Mystics,Indiana Fever,83,85
Sat,2024-06-08,Chicago Sky,Atlanta Dream,80,89
Sat,2024-06-08,Connecticut Sun,New York Liberty,75,82
Sun,2024-06-09,Dallas Wings,Phoenix Mercury,90,97
Sun,2024-06-09,Los Angeles Sparks,Las Vegas Aces,96,92
Sun,2024-06-09,Minnesota Lynx,Seattle Storm,83,64
Sun,2024-06-09,New York Liberty,Washington Mystics,93,88
Mon,2024-06-10,Connecticut Sun,Indiana Fever,89,72
Tue,2024-06-11,Atlanta Dream,Washington Mystics,68,87
Tue,2024-06-11,Las Vegas Aces,Minnesota Lynx,86,100
Tue,2024-06-11,Seattle Storm,Los Angeles Sparks,95,79
Wed,2024-06-12,Chicago Sky,Connecticut Sun,75,83
Thu,2024-06-13,Dallas Wings,Seattle Storm,84,92
Thu,2024-06-13,Indiana Fever,Atlanta Dream,91,84
Thu,2024-06-13,Phoenix Mercury,Las Vegas Aces,99,103
Fri,2024-06-14,Minnesota Lynx,Los Angeles Sparks,81,76
Fri,2024-06-14,Washington Mystics,Chicago Sky,83,81
Sat,2024-06-15,Dallas Wings,Connecticut Sun,67,85
